StudentID,StudyHoursPerWeek,SleepHoursPerNight,AttendanceRate,PreviousGPA,CommuteMinutes
133,15.18,6.37,0.901,8.46,19.0
149,17.33,7.22,0.899,7.71,24.9
94,11.6,7.48,0.916,9.84,32.4
181,18.53,6.8,0.845,9.71,23.2
16,7.7,6.28,0.893,8.31,37.6
116,9.35,5.66,0.855,8.18,29.2
173,9.73,6.48,0.766,6.98,26.3
210,10.33,7.43,0.849,7.96,21.7
76,15.45,7.19,0.908,8.14,41.4
143,1.34,8.1,0.856,8.31,29.9
101,10.11,7.86,0.745,9.12,30.6
31,22.71,6.59,0.908,8.28,16.0
191,20.62,5.37,1.0,7.67,22.6
10,7.73,6.68,0.911,5.69,4.6
68,9.69,7.06,0.915,8.69,0.0
219,11.23,6.28,0.977,7.91,36.7
176,12.86,7.15,0.777,7.2,42.7
19,16.39,5.83,0.907,8.35,30.7
198,10.03,8.46,0.791,8.38,58.7
67,10.26,7.29,1.0,8.25,29.0
190,20.25,5.57,0.687,8.87,24.1
97,5.39,7.07,0.837,7.17,38.3
211,16.58,5.86,1.0,8.25,17.8
26,10.24,5.58,0.843,7.57,49.7
128,6.06,7.65,0.828,7.82,20.5
202,19.04,6.08,0.936,6.7,23.2
98,7.01,6.23,0.972,8.77,20.1
17,13.84,4.64,0.966,10.0,16.9
46,13.09,8.11,0.866,7.12,47.6
155,11.73,7.61,0.778,7.43,18.7
112,13.19,7.7,0.925,9.22,42.8
56,8.81,7.42,0.955,6.91,32.1
109,16.2,5.71,0.937,6.85,21.4
197,15.22,8.2,0.865,8.3,40.8
74,14.49,4.18,0.873,7.83,11.1
110,3.36,6.43,0.933,9.51,19.2
83,10.18,7.95,0.987,7.08,13.0
139,21.98,6.05,0.86,8.92,21.0
142,7.05,7.42,0.787,7.02,28.8
102,18.5,6.79,0.814,8.57,6.6
87,9.65,6.63,0.996,9.62,21.9
194,19.31,7.82,0.725,8.03,5.9
121,6.88,4.48,0.874,7.95,24.3
96,4.76,6.67,0.931,9.02,12.5
80,10.45,7.36,1.0,5.98,29.9
218,18.69,5.82,0.894,7.8,30.9
114,4.77,5.88,1.0,9.22,40.8
141,14.07,6.83,0.687,7.24,29.1
123,13.1,7.08,0.884,9.62,20.0
163,22.64,5.24,0.982,6.95,33.4
216,17.01,6.33,0.906,6.24,39.7
39,7.88,6.85,0.881,7.18,41.4
25,9.86,9.34,0.791,7.61,17.5
186,19.68,6.71,0.837,8.33,24.3
138,16.19,7.3,0.98,8.95,21.7
30,14.15,5.71,0.803,7.62,12.1
20,11.75,6.42,0.878,7.85,6.6
70,11.04,6.89,0.917,6.99,0.0
206,11.76,6.61,0.869,8.75,20.1
61,3.59,7.53,0.989,7.91,27.5
69,16.29,6.68,0.835,6.97,29.6
6,5.49,7.25,0.762,6.46,28.5
140,26.57,6.84,0.909,8.04,32.4
57,10.62,6.16,0.733,6.59,11.2
157,12.65,6.77,0.838,7.64,36.8
177,19.9,7.84,0.937,7.71,26.8
164,7.89,5.62,0.83,6.1,26.2
66,15.97,6.48,0.837,9.32,20.7
113,9.03,6.23,0.904,8.23,46.5
187,12.92,6.87,0.847,10.0,12.1
156,20.84,9.56,0.846,8.28,25.0
32,9.97,7.38,0.847,7.78,29.8
13,12.33,7.35,1.0,7.36,20.1
36,17.64,7.86,0.853,7.3,38.9
29,14.06,10.2,0.968,7.59,25.8
43,8.67,7.26,0.887,7.07,26.4
85,6.02,6.93,0.992,8.09,24.6
105,7.33,9.0,0.86,8.31,29.5
151,11.21,7.01,0.782,7.82,39.3
52,15.16,7.35,0.909,8.63,30.4
125,16.18,8.78,0.952,8.01,25.0
178,12.8,7.25,0.899,9.28,29.9
77,9.86,7.33,0.933,8.7,19.2
42,14.72,6.71,0.995,7.78,14.6
136,6.92,7.26,0.764,7.89,12.7
79,15.13,5.07,0.952,6.54,25.0
179,11.41,7.58,0.831,9.65,26.4
27,14.66,5.79,0.857,8.71,22.3
147,8.94,6.18,0.786,7.88,0.0
174,5.87,7.51,0.916,7.66,54.3
207,7.78,7.88,0.929,6.79,8.2
1,13.52,6.75,0.865,6.48,27.7
3,15.75,7.19,0.909,7.19,11.7
78,12.79,6.59,0.825,8.73,51.9
47,16.36,7.17,0.818,7.18,23.0
154,9.57,7.93,0.748,7.55,30.8
119,20.01,8.27,0.78,8.05,26.6
91,15.33,8.3,0.851,8.01,21.6
86,14.43,5.84,0.845,8.84,8.6
148,11.3,6.1,0.813,6.88,25.4
99,14.0,8.09,0.688,8.58,8.0
37,11.43,7.48,0.965,5.91,42.2
126,13.78,4.73,0.939,8.22,29.1
62,10.33,5.08,0.952,9.02,35.6
23,18.11,5.07,0.753,9.13,23.2
145,7.94,6.86,0.937,9.16,0.0
118,12.11,7.34,0.797,8.36,26.5
34,7.93,5.91,0.895,5.97,17.5
12,15.89,6.35,0.908,8.25,18.3
215,10.36,8.02,0.927,6.3,17.1
184,17.53,6.57,0.83,7.92,38.6
7,12.64,9.77,0.965,6.55,39.9
