StudentID,StudyHoursPerWeek,SleepHoursPerNight,AttendanceRate,PreviousGPA,CommuteMinutes,FinalExamScore
1,13.52,6.75,0.865,6.48,27.7,62.1
2,6.8,7.27,0.906,7.98,36.4,59.5
3,15.75,7.19,0.909,7.19,11.7,71.7
4,16.7,5.81,0.986,7.69,10.9,71.9
5,2.24,7.1,0.853,7.93,11.9,41.4
6,5.49,7.25,0.762,6.46,28.5,45.4
7,12.64,9.77,0.965,6.55,39.9,60.1
8,10.42,9.06,0.853,8.43,19.8,67.3
9,11.92,6.06,0.969,7.53,0.0,70.3
10,7.73,6.68,0.911,5.69,4.6,50.1
11,16.4,5.39,0.87,8.71,15.0,78.0
12,15.89,6.35,0.908,8.25,18.3,68.0
13,12.33,7.35,1.0,7.36,20.1,58.3
14,17.64,8.33,1.0,6.81,25.5,73.2
15,14.34,6.2,0.886,8.75,21.3,69.3
16,7.7,6.28,0.893,8.31,37.6,54.5
17,13.84,4.64,0.966,10.0,16.9,78.6
18,7.21,6.82,0.812,8.38,14.7,54.0
19,16.39,5.83,0.907,8.35,30.7,69.6
20,11.75,6.42,0.878,7.85,6.6,55.2
21,11.08,6.04,0.905,8.74,29.7,65.1
22,8.6,6.9,0.813,8.56,26.2,58.7
23,18.11,5.07,0.753,9.13,23.2,62.8
24,11.23,5.39,0.714,7.53,44.1,43.2
25,9.86,9.34,0.791,7.61,17.5,65.1
26,10.24,5.58,0.843,7.57,49.7,45.7
27,14.66,5.79,0.857,8.71,22.3,77.6
28,13.83,9.02,1.0,9.35,9.7,88.3
29,14.06,10.2,0.968,7.59,25.8,79.5
30,14.15,5.71,0.803,7.62,12.1,44.3
31,22.71,6.59,0.908,8.28,16.0,76.4
32,9.97,7.38,0.847,7.78,29.8,57.2
33,9.44,8.9,0.857,8.86,31.7,67.0
34,7.93,5.91,0.895,5.97,17.5,50.1
35,15.08,6.73,0.93,7.26,36.8,61.6
36,17.64,7.86,0.853,7.3,38.9,77.9
37,11.43,7.48,0.965,5.91,42.2,52.9
38,7.8,6.59,0.789,7.13,31.4,46.3
39,7.88,6.85,0.881,7.18,41.4,48.6
40,15.25,5.49,1.0,7.82,2.4,67.0
41,15.72,6.74,0.898,9.0,21.2,86.3
42,14.72,6.71,0.995,7.78,14.6,54.7
43,8.67,7.26,0.887,7.07,26.4,40.6
44,13.16,6.39,0.926,7.95,18.1,60.8
45,12.58,7.52,0.875,8.94,23.0,72.4
46,13.09,8.11,0.866,7.12,47.6,66.2
47,16.36,7.17,0.818,7.18,23.0,67.6
48,13.12,7.39,0.914,8.5,30.0,67.8
49,15.39,7.06,0.812,7.8,22.2,72.8
50,12.34,7.0,0.933,8.58,25.9,75.6
51,13.45,6.21,0.967,7.99,25.1,65.8
52,15.16,7.35,0.909,8.63,30.4,80.2
53,4.71,6.89,0.857,7.07,39.0,45.0
54,10.4,9.3,0.916,7.99,44.8,66.1
55,9.65,8.73,0.855,7.81,28.7,69.6
56,8.81,7.42,0.955,6.91,32.1,55.7
57,10.62,6.16,0.733,6.59,11.2,46.2
58,19.47,5.78,0.853,8.62,23.9,82.4
59,7.67,8.31,0.721,7.68,36.3,38.3
60,16.84,7.29,0.76,7.08,35.4,52.8
61,3.59,7.53,0.989,7.91,27.5,47.0
62,10.33,5.08,0.952,9.02,35.6,56.7
63,12.81,8.02,0.822,5.95,30.9,52.8
64,14.93,7.5,0.76,6.65,39.4,47.1
65,15.56,5.78,0.643,7.17,28.5,44.6
66,15.97,6.48,0.837,9.32,20.7,68.9
67,10.26,7.29,1.0,8.25,29.0,82.5
68,9.69,7.06,0.915,8.69,0.0,79.8
69,16.29,6.68,0.835,6.97,29.6,58.0
70,11.04,6.89,0.917,6.99,0.0,57.0
71,5.62,6.72,0.755,8.4,4.3,45.5
72,6.33,7.17,0.856,8.05,30.4,41.6
73,7.4,8.62,0.888,8.49,30.7,65.0
74,14.49,4.18,0.873,7.83,11.1,48.6
75,12.71,6.74,0.943,8.25,16.5,67.2
76,15.45,7.19,0.908,8.14,41.4,59.0
77,9.86,7.33,0.933,8.7,19.2,62.9
78,12.79,6.59,0.825,8.73,51.9,63.2
79,15.13,5.07,0.952,6.54,25.0,55.5
80,10.45,7.36,1.0,5.98,29.9,56.1
81,14.28,8.9,0.802,8.9,44.4,67.7
82,8.69,5.31,0.809,9.07,26.6,60.1
83,10.18,7.95,0.987,7.08,13.0,58.6
84,10.09,6.64,0.865,6.33,23.7,52.5
85,6.02,6.93,0.992,8.09,24.6,57.3
86,14.43,5.84,0.845,8.84,8.6,59.0
87,9.65,6.63,0.996,9.62,21.9,69.4
88,12.06,8.43,0.891,8.46,16.1,76.4
89,14.4,7.64,0.901,7.67,36.1,71.4
90,14.23,8.91,1.0,7.2,25.4,73.3
91,15.33,8.3,0.851,8.01,21.6,84.1
92,11.51,7.48,0.805,7.73,23.7,67.6
93,9.88,8.92,0.844,7.09,27.7,60.1
94,11.6,7.48,0.916,9.84,32.4,81.0
95,3.56,7.91,0.755,9.61,13.0,73.9
96,4.76,6.67,0.931,9.02,12.5,72.2
97,5.39,7.07,0.837,7.17,38.3,37.2
98,7.01,6.23,0.972,8.77,20.1,53.8
99,14.0,8.09,0.688,8.58,8.0,80.9
100,7.47,5.7,0.817,8.4,30.3,43.2
101,10.11,7.86,0.745,9.12,30.6,57.6
102,18.5,6.79,0.814,8.57,6.6,73.3
103,10.22,8.29,0.9,8.67,27.8,73.3
104,15.69,7.83,0.866,8.57,33.8,74.3
105,7.33,9.0,0.86,8.31,29.5,61.4
106,10.97,7.8,0.867,6.39,32.6,50.0
107,7.25,5.27,0.896,8.08,8.1,46.3
108,10.3,6.93,0.799,7.5,29.0,48.7
